dataset,field_id,scene_date,scene_id,polarization,zonal_mean_db,zonal_min_db,zonal_max_db,zonal_median_db,valid_pixel_count,nodata_pixel_count,radar_raster
sp,SP_1_1,2026-05-03,S1C_IW_GRDH_1SDV_20260503T151314_20260503T151337_007491_00F357_rtc,VH,-19.886663805418728,-26.264434608730415,-11.140082468061197,-20.4126938599887,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-03/sentinel_rtc.tif
sp,SP_1_1,2026-05-03,S1C_IW_GRDH_1SDV_20260503T151314_20260503T151337_007491_00F357_rtc,VV,-9.85748645537389,-16.742977974827813,-2.870599536798604,-10.167518623483565,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-03/sentinel_rtc.tif
sp,SP_1_1,2026-05-05,S1C_IW_GRDH_1SDV_20260505T034516_20260505T034545_007513_00F415_rtc,VH,-17.899542272298543,-25.121598596513493,-10.867104455268082,-18.282443266355934,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-05/sentinel_rtc.tif
sp,SP_1_1,2026-05-05,S1C_IW_GRDH_1SDV_20260505T034516_20260505T034545_007513_00F415_rtc,VV,-8.772558606815016,-15.84009787851587,-1.1707927225331958,-9.078414726324986,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-05/sentinel_rtc.tif
sp,SP_1_1,2026-05-06,S1A_IW_GRDH_1SDV_20260506T033759_20260506T033824_064391_081BC3_rtc,VH,-20.277943703455126,-26.950796399876275,-9.916706766074661,-20.677072212335375,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-06/sentinel_rtc.tif
sp,SP_1_1,2026-05-06,S1A_IW_GRDH_1SDV_20260506T033759_20260506T033824_064391_081BC3_rtc,VV,-10.368153476190551,-16.913735813779585,-4.5451944648776985,-10.694879840512636,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-06/sentinel_rtc.tif
sp,SP_1_1,2026-05-13,S1D_IW_GRDH_1SDV_20260513T033707_20260513T033732_002760_004A94_rtc,VH,-12.540312707123293,-19.158186879808984,-7.184282072791809,-12.787907485688798,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-13/sentinel_rtc.tif
sp,SP_1_1,2026-05-13,S1D_IW_GRDH_1SDV_20260513T033707_20260513T033732_002760_004A94_rtc,VV,-4.201720201854716,-11.294935579929524,1.385559867354866,-4.465229384716864,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-13/sentinel_rtc.tif
sp,SP_1_1,2026-05-15,S1C_IW_GRDH_1SDV_20260515T151314_20260515T151338_007666_00F93D_rtc,VH,-20.69273925620354,-28.61746321151859,-12.474623786376133,-21.029340183415094,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-15/sentinel_rtc.tif
sp,SP_1_1,2026-05-15,S1C_IW_GRDH_1SDV_20260515T151314_20260515T151338_007666_00F93D_rtc,VV,-10.67016556923986,-17.647971161917326,-3.9470632636242913,-10.972668496482573,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-15/sentinel_rtc.tif
sp,SP_1_1,2026-05-16,S1D_IW_GRDH_1SDV_20260516T151324_20260516T151348_002811_004C4E_rtc,VH,-21.099797765059908,-27.694123564621105,-13.425222690882904,-21.388775736724888,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-16/sentinel_rtc.tif
sp,SP_1_1,2026-05-16,S1D_IW_GRDH_1SDV_20260516T151324_20260516T151348_002811_004C4E_rtc,VV,-11.007628651435969,-16.69346277585752,-4.786047087176691,-11.266087018861171,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-16/sentinel_rtc.tif
sp,SP_1_1,2026-05-17,S1C_IW_GRDH_1SDV_20260517T034517_20260517T034546_007688_00FA01_rtc,VH,-17.9724390987626,-23.984176748490423,-11.478533994884701,-18.30281009257675,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-17/sentinel_rtc.tif
sp,SP_1_1,2026-05-17,S1C_IW_GRDH_1SDV_20260517T034517_20260517T034546_007688_00FA01_rtc,VV,-9.059075955257939,-15.969098253502366,-3.967432616977042,-9.295932651592363,8034,2575,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sentinel1/sp/SP_1_1/2026-05-17/sentinel_rtc.tif
