dataset,field_id,scene_date,scene_id,index,zonal_mean,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,NDMI,-0.27357763051986694,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,NDRE,0.07107934355735779,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UDT_20260522T122936,SAVI,0.07209331542253494,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDVI,0.10380076617002487,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDMI,-0.28071096539497375,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,NDRE,0.07391436398029327,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UDS_20260608T120920,SAVI,0.06695448607206345,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDVI,0.10515390336513519,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDMI,-0.26667121052742004,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,NDRE,0.07512681186199188,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UDS_20260609T140015,SAVI,0.06588060408830643,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,NDVI,0.359885036945343,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,NDMI,0.008034931495785713,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,NDRE,0.27884143590927124,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-08,S2A_MSIL2A_20260708T083531_R021_T37UDS_20260708T111910,SAVI,0.26009660959243774,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-18,S2A_MSIL2A_20260718T083531_R021_T37UDT_20260718T112507,NDVI,0.487987756729126,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-18/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-18,S2A_MSIL2A_20260718T083531_R021_T37UDT_20260718T112507,NDMI,0.1350829005241394,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-18/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-18,S2A_MSIL2A_20260718T083531_R021_T37UDT_20260718T112507,NDRE,0.3991023004055023,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-18/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-18,S2A_MSIL2A_20260718T083531_R021_T37UDT_20260718T112507,SAVI,0.36176949739456177,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-18/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDT_20260719T135608,NDVI,0.4562661349773407,4510,3850,16.483516483516482,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-19/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDT_20260719T135608,NDMI,0.13976797461509705,4510,3850,16.483516483516482,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-19/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDT_20260719T135608,NDRE,0.3610071837902069,4510,3850,16.483516483516482,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-19/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDT_20260719T135608,SAVI,0.3591488301753998,4510,3850,16.483516483516482,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-07-19/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-03,S2B_MSIL2A_20260803T083559_R064_T37UDT_20260803T123557,NDVI,0.486166387796402,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-03/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-03,S2B_MSIL2A_20260803T083559_R064_T37UDT_20260803T123557,NDMI,0.18897603452205658,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-03/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-03,S2B_MSIL2A_20260803T083559_R064_T37UDT_20260803T123557,NDRE,0.402195543050766,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-03/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-03,S2B_MSIL2A_20260803T083559_R064_T37UDT_20260803T123557,SAVI,0.3662128746509552,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-03/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-05,S2C_MSIL2A_20260805T082601_R021_T37UDS_20260805T135217,NDVI,0.4704948663711548,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-05,S2C_MSIL2A_20260805T082601_R021_T37UDS_20260805T135217,NDMI,0.17219753563404083,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-05,S2C_MSIL2A_20260805T082601_R021_T37UDS_20260805T135217,NDRE,0.3678884208202362,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-05,S2C_MSIL2A_20260805T082601_R021_T37UDS_20260805T135217,SAVI,0.36138370633125305,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-07,S2A_MSIL2A_20260807T083531_R021_T37UDS_20260807T131912,NDVI,0.4443710446357727,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-07,S2A_MSIL2A_20260807T083531_R021_T37UDS_20260807T131912,NDMI,0.15755903720855713,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-07,S2A_MSIL2A_20260807T083531_R021_T37UDS_20260807T131912,NDRE,0.3605366349220276,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-07,S2A_MSIL2A_20260807T083531_R021_T37UDS_20260807T131912,SAVI,0.33832788467407227,5314,3046,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-08,S2C_MSIL2A_20260808T083601_R064_T37UDT_20260808T140216,NDVI,0.4530163109302521,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-08,S2C_MSIL2A_20260808T083601_R064_T37UDT_20260808T140216,NDMI,0.16662637889385223,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-08,S2C_MSIL2A_20260808T083601_R064_T37UDT_20260808T140216,NDRE,0.3558427095413208,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-08,S2C_MSIL2A_20260808T083601_R064_T37UDT_20260808T140216,SAVI,0.3458866775035858,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-10,S2B_MSIL2A_20260810T082559_R021_T37UDT_20260810T105805,NDVI,0.48683109879493713,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-10/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-10,S2B_MSIL2A_20260810T082559_R021_T37UDT_20260810T105805,NDMI,0.20516064763069153,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-10/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-10,S2B_MSIL2A_20260810T082559_R021_T37UDT_20260810T105805,NDRE,0.40583354234695435,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-10/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0031-2,2026-08-10,S2B_MSIL2A_20260810T082559_R021_T37UDT_20260810T105805,SAVI,0.3710150420665741,5387,2973,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0031-2/2026-08-10/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDT_20260425T123614,NDVI,0.07624349743127823,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDT_20260425T123614,NDMI,-0.2794783115386963,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDT_20260425T123614,NDRE,0.06016405671834946,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-04-25,S2B_MSIL2A_20260425T083559_R064_T37UDT_20260425T123614,SAVI,0.04307018592953682,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-04-25/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UCT_20260505T123805,NDVI,0.06654559820890427,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UCT_20260505T123805,NDMI,-0.2666114270687103,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UCT_20260505T123805,NDRE,0.048398155719041824,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UCT_20260505T123805,SAVI,0.0397995263338089,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-05/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UCT_20260508T133027,NDVI,0.07951944321393967,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UCT_20260508T133027,NDMI,-0.25871264934539795,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UCT_20260508T133027,NDRE,0.0605657696723938,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UCT_20260508T133027,SAVI,0.04915539547801018,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-07/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UCT_20260520T135803,NDVI,0.2685263156890869,4029,1596,4.9579045837231055,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UCT_20260520T135803,NDMI,-0.04433238506317139,4029,1596,4.9579045837231055,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UCT_20260520T135803,NDRE,0.18090534210205078,4029,1596,4.9579045837231055,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UCT_20260520T135803,SAVI,0.18340638279914856,4029,1596,4.9579045837231055,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-20/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UCT_20260522T122936,NDVI,0.33268389105796814,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UCT_20260522T122936,NDMI,-0.011312582530081272,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UCT_20260522T122936,NDRE,0.23489733040332794,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-05-22,S2B_MSIL2A_20260522T082559_R021_T37UCT_20260522T122936,SAVI,0.23683659732341766,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-05-22/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UCT_20260608T120920,NDVI,0.6361372470855713,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UCT_20260608T120920,NDMI,0.3445363938808441,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UCT_20260608T120920,NDRE,0.5106009840965271,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-08,S2A_MSIL2A_20260608T082751_R021_T37UCT_20260608T120920,SAVI,0.546768069267273,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-08/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UCT_20260609T140015,NDVI,0.6304195523262024,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UCT_20260609T140015,NDMI,0.3431634306907654,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UCT_20260609T140015,NDRE,0.48588356375694275,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-09/sentinel_analysis.tif
kaa,KAA_КУР-ГОР-0056-02,2026-06-09,S2C_MSIL2A_20260609T083601_R064_T37UCT_20260609T140015,SAVI,0.5434483885765076,4232,1393,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/kaa/KAA_КУР-ГОР-0056-02/2026-06-09/sentinel_analysis.tif
