dataset,field_id,scene_date,scene_id,index,zonal_mean,zonal_min,zonal_max,zonal_median,valid_pixel_count,nodata_pixel_count,aoi_cloud_cover,analysis_raster
sp,SP_1_1,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,FCOVER,0.030783412978053093,0.006775256711989641,0.41062527894973755,0.02485988289117813,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-05-22/sentinel_analysis.tif
sp,SP_1_1,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDVI,0.11740382760763168,-0.03643901273608208,0.554386556148529,0.09457539021968842,7949,2867,0.049850448654037885,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-06-11/sentinel_analysis.tif
sp,SP_1_1,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDMI,-0.2229805588722229,-0.3057819902896881,0.23982122540473938,-0.25042372941970825,7949,2867,0.049850448654037885,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-06-11/sentinel_analysis.tif
sp,SP_1_1,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDRE,0.08033421635627747,-0.10024452209472656,0.42152899503707886,0.06412583589553833,7949,2867,0.049850448654037885,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-06-11/sentinel_analysis.tif
sp,SP_1_1,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,SAVI,0.07690346986055374,-0.026140039786696434,0.4688563644886017,0.058459922671318054,7949,2867,0.049850448654037885,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-06-11/sentinel_analysis.tif
sp,SP_1_1,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,FCOVER,0.03780936449766159,0.006942833308130503,0.4563461244106293,0.018050145357847214,7949,2867,0.049850448654037885,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-06-11/sentinel_analysis.tif
sp,SP_1_1,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDVI,0.6313713192939758,0.17451660335063934,0.7132022976875305,0.6456939578056335,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-07-19/sentinel_analysis.tif
sp,SP_1_1,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDMI,0.313059538602829,-0.20888294279575348,0.3937493860721588,0.34064486622810364,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-07-19/sentinel_analysis.tif
sp,SP_1_1,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDRE,0.4166690707206726,0.09579440951347351,0.4822366237640381,0.42843732237815857,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-07-19/sentinel_analysis.tif
sp,SP_1_1,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,SAVI,0.5646763443946838,0.11689174175262451,0.679995596408844,0.5785576105117798,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-07-19/sentinel_analysis.tif
sp,SP_1_1,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,FCOVER,0.7456067800521851,0.057552702724933624,0.929760217666626,0.7759727239608765,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-07-19/sentinel_analysis.tif
sp,SP_1_1,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDVI,0.6544913053512573,0.3779048025608063,0.6900703310966492,0.6622524857521057,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-08-10/sentinel_analysis.tif
sp,SP_1_1,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDMI,0.36189794540405273,0.052883077412843704,0.4038655459880829,0.37099334597587585,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-08-10/sentinel_analysis.tif
sp,SP_1_1,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDRE,0.44889572262763977,0.21485023200511932,0.5078166127204895,0.4541025161743164,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-08-10/sentinel_analysis.tif
sp,SP_1_1,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,SAVI,0.5993814468383789,0.28140342235565186,0.6494098901748657,0.609917938709259,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-08-10/sentinel_analysis.tif
sp,SP_1_1,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,FCOVER,0.8522815704345703,0.3279092609882355,0.925184428691864,0.8770519495010376,7953,2863,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_1/2026-08-10/sentinel_analysis.tif
sp,SP_1_10,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDVI,0.08972714096307755,0.05347782373428345,0.21596011519432068,0.08495908230543137,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-04-22/sentinel_analysis.tif
sp,SP_1_10,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDMI,-0.21674996614456177,-0.27931109070777893,-0.046109024435281754,-0.22404371201992035,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-04-22/sentinel_analysis.tif
sp,SP_1_10,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,NDRE,0.06862213462591171,-0.009854555130004883,0.20918788015842438,0.06485668569803238,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-04-22/sentinel_analysis.tif
sp,SP_1_10,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,SAVI,0.0534946583211422,0.029194768518209457,0.14417314529418945,0.049089573323726654,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-04-22/sentinel_analysis.tif
sp,SP_1_10,2026-04-22,S2A_MSIL2A_20260422T083741_R064_T37UDA_20260422T123509,FCOVER,0.016200922429561615,0.001159109640866518,0.04696474224328995,0.01557080540806055,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-04-22/sentinel_analysis.tif
sp,SP_1_10,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDVI,0.10782649368047714,0.06228376179933548,0.24989672005176544,0.10379743576049805,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-05/sentinel_analysis.tif
sp,SP_1_10,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDMI,-0.26186367869377136,-0.32828375697135925,-0.0942283570766449,-0.2700729966163635,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-05/sentinel_analysis.tif
sp,SP_1_10,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,NDRE,0.07541762292385101,0.013054857030510902,0.16868998110294342,0.07258415967226028,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-05/sentinel_analysis.tif
sp,SP_1_10,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,SAVI,0.07891038060188293,0.03729332610964775,0.18441373109817505,0.07622794061899185,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-05/sentinel_analysis.tif
sp,SP_1_10,2026-05-05,S2B_MSIL2A_20260505T083559_R064_T37UDA_20260505T105708,FCOVER,0.0021461755968630314,0.0,0.05748526751995087,0.0,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-05/sentinel_analysis.tif
sp,SP_1_10,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDA_20260508T133027,NDVI,0.11373716592788696,0.07403375208377838,0.36618098616600037,0.10617554187774658,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-07/sentinel_analysis.tif
sp,SP_1_10,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDA_20260508T133027,NDMI,-0.2621181011199951,-0.33833301067352295,-0.050752636045217514,-0.2704094350337982,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-07/sentinel_analysis.tif
sp,SP_1_10,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDA_20260508T133027,NDRE,0.0805249884724617,0.03268454596400261,0.2089080810546875,0.07552246749401093,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-07/sentinel_analysis.tif
sp,SP_1_10,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDA_20260508T133027,SAVI,0.08558733016252518,0.047037120908498764,0.2804424464702606,0.08018770813941956,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-07/sentinel_analysis.tif
sp,SP_1_10,2026-05-07,S2C_MSIL2A_20260507T082651_R021_T37UDA_20260508T133027,FCOVER,0.004022834822535515,0.0,0.1750897616147995,0.0,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-07/sentinel_analysis.tif
sp,SP_1_10,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDA_20260520T135803,NDVI,0.18711836636066437,0.11532846093177795,0.5971028208732605,0.16212020814418793,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-20/sentinel_analysis.tif
sp,SP_1_10,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDA_20260520T135803,NDMI,-0.2081938534975052,-0.2861376106739044,0.2321823239326477,-0.23183602094650269,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-20/sentinel_analysis.tif
sp,SP_1_10,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDA_20260520T135803,NDRE,0.11935077607631683,0.06768687814474106,0.3972277045249939,0.1034482941031456,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-20/sentinel_analysis.tif
sp,SP_1_10,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDA_20260520T135803,SAVI,0.13299492001533508,0.07701381295919418,0.5104929208755493,0.1122274398803711,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-20/sentinel_analysis.tif
sp,SP_1_10,2026-05-20,S2C_MSIL2A_20260520T083601_R064_T37UDA_20260520T135803,FCOVER,0.049430061131715775,0.002005334012210369,0.5300185084342957,0.022813336923718452,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-20/sentinel_analysis.tif
sp,SP_1_10,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,NDVI,0.2349037081003189,0.12707413733005524,0.632068932056427,0.21273256838321686,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-22/sentinel_analysis.tif
sp,SP_1_10,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,NDMI,-0.1588689237833023,-0.2595641016960144,0.2902021110057831,-0.18359258770942688,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-22/sentinel_analysis.tif
sp,SP_1_10,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,NDRE,0.15652619302272797,0.07947149872779846,0.46953582763671875,0.1392509639263153,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-22/sentinel_analysis.tif
sp,SP_1_10,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,SAVI,0.1698651760816574,0.08842617273330688,0.5594408512115479,0.14974676072597504,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-22/sentinel_analysis.tif
sp,SP_1_10,2026-05-22,S2A_MSIL2A_20260522T084501_R064_T37UDA_20260522T134615,FCOVER,0.0886685848236084,0.005797288380563259,0.6269096732139587,0.05658763274550438,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-05-22/sentinel_analysis.tif
sp,SP_1_10,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDVI,0.17984828352928162,-0.05200657621026039,0.6325818300247192,0.15427887439727783,3592,1520,3.492063492063492,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-06-11/sentinel_analysis.tif
sp,SP_1_10,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDMI,-0.18793824315071106,-0.2953966557979584,0.3083729147911072,-0.2205396592617035,3592,1520,3.492063492063492,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-06-11/sentinel_analysis.tif
sp,SP_1_10,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,NDRE,0.12484754621982574,-0.07692304253578186,0.47932168841362,0.10461081564426422,3592,1520,3.492063492063492,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-06-11/sentinel_analysis.tif
sp,SP_1_10,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,SAVI,0.13310176134109497,-0.03854716569185257,0.5678605437278748,0.10871760547161102,3592,1520,3.492063492063492,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-06-11/sentinel_analysis.tif
sp,SP_1_10,2026-06-11,S2A_MSIL2A_20260611T084501_R064_T37UDA_20260611T112307,FCOVER,0.06057223677635193,0.0,0.7368167042732239,0.025728192180395126,3592,1520,3.492063492063492,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-06-11/sentinel_analysis.tif
sp,SP_1_10,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDVI,0.6542481184005737,0.3802652060985565,0.7030280828475952,0.6617274284362793,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-07-19/sentinel_analysis.tif
sp,SP_1_10,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDMI,0.3814353048801422,0.03570383042097092,0.4319966733455658,0.39024391770362854,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-07-19/sentinel_analysis.tif
sp,SP_1_10,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,NDRE,0.4738791286945343,0.2660677134990692,0.5336765050888062,0.47965118288993835,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-07-19/sentinel_analysis.tif
sp,SP_1_10,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,SAVI,0.5856332182884216,0.2888033092021942,0.6557892560958862,0.5937848687171936,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-07-19/sentinel_analysis.tif
sp,SP_1_10,2026-07-19,S2C_MSIL2A_20260719T083601_R064_T37UDA_20260719T135608,FCOVER,0.8308177590370178,0.40865716338157654,0.9439793229103088,0.8466053009033203,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-07-19/sentinel_analysis.tif
sp,SP_1_10,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDVI,0.3683176040649414,0.23251204192638397,0.6361059546470642,0.35982009768486023,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-08-10/sentinel_analysis.tif
sp,SP_1_10,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDMI,0.06786838173866272,-0.08494873344898224,0.29949355125427246,0.06562172621488571,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-08-10/sentinel_analysis.tif
sp,SP_1_10,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,NDRE,0.24373704195022583,0.1438198834657669,0.4861629903316498,0.23750688135623932,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-08-10/sentinel_analysis.tif
sp,SP_1_10,2026-08-10,S2A_MSIL2A_20260810T083741_R064_T37UDA_20260810T135811,SAVI,0.3125898838043213,0.19586509466171265,0.5584722757339478,0.30553361773490906,3721,1391,0.0,/Users/korneev/Desktop/water-regime-gis/outputs/imagery/sp/SP_1_10/2026-08-10/sentinel_analysis.tif
