scene_date,index,field_count,valid_count,mean,median,p25,p75
2026-06-09,NDRE,53,53,0.211232604002,0.12003698945,0.0843373164535,0.37996673584
2026-06-09,SAVI,53,53,0.231318620016,0.124119699001,0.0788785964251,0.454420745373
2026-06-09,NDVI,53,53,0.297316604206,0.188974127173,0.123026065528,0.550524532795
2026-06-09,NDWI,53,53,-0.28498881015,-0.193683236837,-0.474772840738,-0.147587820888
2026-06-09,MNDWI,53,53,-0.346524742696,-0.375509917736,-0.390978306532,-0.284933894873
2026-06-11,NDMI,55,40,-0.0266512585804,-0.172213561833,-0.247588813305,0.254410479218
2026-06-11,NDRE,55,40,0.230573048163,0.136576071382,0.083799989894,0.432023607194
2026-06-11,SAVI,55,40,0.255367271975,0.14928111434,0.087077267468,0.470549017191
2026-06-11,NDVI,55,40,0.310232275166,0.197197727859,0.125047426671,0.555994570255
2026-06-11,NDWI,55,40,-0.29234270677,-0.204436123371,-0.488019131124,-0.144312944263
2026-06-11,MNDWI,55,40,-0.324795009382,-0.359837770462,-0.385233975947,-0.275094032288
2026-06-18,NDMI,16,16,0.0461053455946,-0.0477524716407,-0.121618572623,0.333015248179
2026-06-18,NDRE,16,16,0.269078520592,0.182281300426,0.149722196162,0.477144233882
2026-06-18,SAVI,16,16,0.288073341828,0.210793487728,0.139265395701,0.504349723458
2026-06-18,NDVI,16,16,0.366706652567,0.309315606952,0.22674132511,0.582425028086
2026-06-18,NDWI,16,16,-0.327165100723,-0.262882821262,-0.527354240417,-0.196227308363
2026-06-18,MNDWI,16,16,-0.293854326941,-0.28411360085,-0.33680035919,-0.26650737226
2026-06-24,NDMI,6,4,-0.0776720009743,-0.129321657121,-0.178615327924,-0.028378330171
2026-06-24,NDRE,6,4,0.214110463858,0.190765015781,0.152785781771,0.252089697868
2026-06-24,SAVI,6,4,0.243071001023,0.210239551961,0.149356979877,0.303953573108
2026-06-24,NDVI,6,4,0.311012506485,0.276534020901,0.211456075311,0.376090452075
2026-06-24,NDWI,6,4,-0.281844299287,-0.259206689894,-0.335021428763,-0.206029560417
2026-06-24,MNDWI,6,4,-0.35473575443,-0.364859789609,-0.380206212401,-0.339389331639
2026-07-01,NDMI,49,44,0.161558706186,0.165734484792,-0.00797027582304,0.341884300113
2026-07-01,NDRE,49,44,0.356617179615,0.392132714391,0.242467530072,0.438782177866
2026-07-01,SAVI,49,44,0.386525075205,0.427158921957,0.255984768272,0.519848644733
2026-07-01,NDVI,49,44,0.45671183345,0.520434290171,0.339651115239,0.567629829049
2026-07-01,NDWI,49,44,-0.415970378979,-0.469029814005,-0.503129936754,-0.311119526625
2026-07-01,MNDWI,49,44,-0.273987213996,-0.289127141237,-0.339638806879,-0.237788315862
2026-07-08,NDMI,6,6,0.177282483938,0.211966775358,0.100421486422,0.245442163199
2026-07-08,NDRE,6,6,0.36635312438,0.359347090125,0.329418845475,0.404751569032
2026-07-08,SAVI,6,6,0.40632168452,0.414369136095,0.342415705324,0.430641070008
2026-07-08,NDVI,6,6,0.483622943361,0.481899738312,0.428915210068,0.51633810997
2026-07-08,NDWI,6,6,-0.423694938421,-0.424065515399,-0.448525637388,-0.378003127873
2026-07-08,MNDWI,6,6,-0.26708248506,-0.285481691361,-0.313419781625,-0.218122493476
2026-07-18,NDMI,22,22,0.278922695328,0.309590950608,0.212933555245,0.338005527854
2026-07-18,NDRE,22,22,0.473469757221,0.469247564674,0.431150488555,0.522489115596
2026-07-18,SAVI,22,22,0.526104852557,0.512311503291,0.411093175411,0.643117710948
2026-07-18,NDVI,22,22,0.609443447807,0.601419091225,0.528622597455,0.696613997221
2026-07-18,NDWI,22,22,-0.546407858079,-0.542775779962,-0.610613882542,-0.485121145844
2026-07-18,MNDWI,22,22,-0.319712244652,-0.319087550044,-0.375962279737,-0.266107492149
2026-07-19,NDMI,55,53,0.27364022464,0.288534879684,0.199500367045,0.34506213665
2026-07-19,NDRE,55,53,0.423322800195,0.429884880781,0.380584895611,0.455768555403
2026-07-19,SAVI,55,53,0.489036929495,0.483031511307,0.388076215982,0.573595166206
2026-07-19,NDVI,55,53,0.571457096428,0.577334821224,0.508132040501,0.634996533394
2026-07-19,NDWI,55,53,-0.512540276883,-0.518684148788,-0.55053704977,-0.457473188639
2026-07-19,MNDWI,55,53,-0.278085212311,-0.285942435265,-0.337282896042,-0.252430528402
2026-07-28,NDMI,1,0,,,,
2026-07-28,NDRE,1,0,,,,
2026-07-28,SAVI,1,0,,,,
2026-07-28,NDVI,1,0,,,,
2026-07-28,NDWI,1,0,,,,
2026-07-28,MNDWI,1,0,,,,
2026-07-31,NDMI,53,50,0.277002903819,0.279187187553,0.219650939107,0.349263854325
2026-07-31,NDRE,53,50,0.412216118574,0.417289674282,0.353898398579,0.495895281435
2026-07-31,SAVI,53,50,0.475366901159,0.443832188845,0.376862831414,0.591909319163
2026-07-31,NDVI,53,50,0.541437517703,0.540757149458,0.470992773772,0.640624463558
2026-07-31,NDWI,53,50,-0.48622743398,-0.479077383876,-0.56770260632,-0.431105479598
2026-07-31,MNDWI,53,50,-0.246698984541,-0.259259551764,-0.301449514925,-0.190360400825
2026-08-03,NDMI,55,55,0.236591388814,0.231635704637,0.172758311034,0.333534732461
2026-08-03,NDRE,55,55,0.389967477863,0.402195543051,0.338769868016,0.472804754972
2026-08-03,SAVI,55,55,0.426608296281,0.426615923643,0.35224045813,0.526803433895
2026-08-03,NDVI,55,55,0.508087592233,0.511008024216,0.452747121453,0.600554943085
