field_id,optimal_lag_days,optimal_r,r_at_zero,pair_count
SP_1_1,-20,0.9995361497415529,0.9513946200686696,7
SP_1_11,16,0.9989005987209844,0.9963179371458264,6
SP_1_3,-5,0.9995366719448284,0.9952402662529154,7
SP_1_5,-16,0.9989593759692096,0.9844259582776843,8
SP_1_6,-1,0.9978359462964277,0.9969679430552598,8
SP_2_1,-14,0.9993604895419981,0.997376259764635,8
SP_2_5,-2,0.9995930143439209,0.9973716855479156,8
SP_2_6,0,0.9942608873379878,0.9942608873379878,10
SP_2_7,9,0.9693923983235673,0.9234343495075957,13
SP_3_1,-9,0.9976356038875964,0.9834288149033024,14
SP_3_4,-8,0.9987125655354879,0.9946082299317691,13
SP_3_5,-7,0.9996797649175693,0.9900043970684109,12
SP_4_1,1,0.9974091500274145,0.9969800263064101,11
SP_4_11,3,0.9778397734397536,0.9702523472373238,13
SP_4_15,-4,0.9989579026275724,0.9955623907156055,12
SP_4_16,2,0.9991283534530685,0.9978265962295749,12
SP_4_3,-20,0.8758706996139561,0.037043492018811956,11
SP_4_6,-19,0.9259995252043317,0.2658717281213008,12
SP_4_8,-13,0.9988542763132289,0.9870154801661566,12
SP_6_1,-19,0.9978721686486802,0.2934003197982389,11
SP_6_2,-21,0.9982027063860576,0.19317498259292692,12
SP_6_3,-18,0.9957650699152153,0.6011994765635457,13
SP_6_4,-14,0.9990801843702417,0.9529992660708639,12
SP_6_5,-19,0.9872128964259779,0.9111845177290183,12
SP_6_6,30,0.8434712646031783,-0.2409211544553454,10
SP_6_7,30,0.7974882217372214,-0.3526923943762723,10
SP_7_10,-28,0.9985074926937012,0.7351767606515942,13
SP_7_11,-30,0.9232115327041837,0.6165918755391496,13
SP_7_12,-25,0.9981395662224559,0.9357020175073484,13
SP_7_13,-30,0.9014446843614305,0.621168537080431,13
SP_7_14,-14,0.9831656045257912,0.571628439452552,14
SP_7_17,-18,0.9990274969444289,0.7599425469849784,13
SP_7_18,-15,0.814722049216534,0.7633741034743527,13
SP_7_3,30,0.5712685911559366,-0.13189505650931807,11
SP_7_5,-30,0.9499677932458199,0.7270506269431122,13
SP_7_8,-29,0.9870476824606352,0.46045834698937715,12
SP_7_9,6,0.9985721830738108,0.996299981235046,14
