field_id,stage_from_fraction,stage_to_fraction,fcover_duration_days,kornix_duration_days,stretch_factor_fcover_over_kornix,additional_stretch_percent,fcover_lag_at_stage_start_days,fcover_lag_at_stage_end_days
SP_6_3,0.35,0.5,7.144955959636718,2.924685986014083,2.4429822530706082,144.29822530706082,15.990825555520132,20.211095529142767
SP_6_3,0.5,0.65,7.144955959753133,5.594436724553816,1.2771537710658403,27.71537710658403,20.211095529142767,21.761614764342085
SP_6_3,0.65,0.8,7.144955959636718,4.244839160819538,1.683210055538892,68.32100555388921,21.761614764342085,24.661731563159265
SP_6_4,0.2,0.35,5.89469840854872,2.9410502958344296,2.004283441496293,100.42834414962928,6.366834974847734,9.320483087562025
SP_6_4,0.35,0.5,5.89469840854872,5.525793930864893,1.0667604478739738,6.676044787397384,9.320483087562025,9.689387565245852
SP_6_4,0.5,0.65,5.89469840854872,4.338974125566892,1.3585465683731337,35.85465683731337,9.689387565245852,11.24511184822768
SP_6_4,0.65,0.8,5.89469840854872,4.721571466187015,1.2484611216335317,24.846112163353173,11.24511184822768,12.418238790589385
SP_6_5,0.2,0.35,8.816322105703875,4.57881320535671,1.9254600941985895,92.54600941985896,8.957577415276319,13.195086315623485
SP_6_5,0.35,0.5,8.816322105703875,5.0125748694408685,1.7588409819976014,75.88409819976015,13.195086315623485,16.99883355188649
SP_6_5,0.5,0.65,6.9224888638127595,4.362500318558887,1.5868168156603235,58.68168156603235,16.99883355188649,19.558822097140364
SP_6_5,0.65,0.8,3.4025528588099405,4.217012238688767,0.8068634061797094,-19.31365938202906,19.558822097140364,18.744362717261538
SP_6_6,0.2,0.35,3.5688670297386125,4.710318051278591,0.7576700746926978,-24.232992530730225,-24.407763933530077,-25.549214955070056
SP_6_6,0.35,0.5,3.5688670297386125,4.444770248490386,0.8029362217205122,-19.706377827948785,-25.549214955070056,-26.42511817382183
SP_6_6,0.5,0.65,3.5688670297386125,3.999810529407114,0.8922590216461129,-10.774097835388707,-26.42511817382183,-26.85606167349033
SP_6_6,0.65,0.8,3.6919828829122707,2.739549425896257,1.3476606218573408,34.76606218573408,-26.85606167349033,-25.903628216474317
SP_6_7,0.2,0.35,3.4314637758070603,5.009519724058919,0.6849885747184458,-31.501142528155423,-24.29449124354869,-25.87254719180055
SP_6_7,0.35,0.5,3.4314637758070603,4.290294925565831,0.7998200206141999,-20.017997938580013,-25.87254719180055,-26.73137834155932
SP_6_7,0.5,0.65,3.4314637758070603,4.250294433906674,0.8073473095022777,-19.265269049772225,-26.73137834155932,-27.550208999658935
SP_6_7,0.65,0.8,3.431463775690645,2.8057894678786397,1.2229940325084534,22.29940325084534,-27.550208999658935,-26.92453469184693
SP_7_10,0.2,0.35,7.915808993857354,3.3248650548048317,2.380791058698173,138.07910586981728,13.380650399136357,17.97159433818888
SP_7_10,0.35,0.5,7.915808993857354,3.0703500690869987,2.578145428287011,157.8145428287011,17.97159433818888,22.817053262959234
SP_7_10,0.5,0.65,7.915808993857354,5.620416372548789,1.4084025931814788,40.84025931814787,22.817053262959234,25.1124458842678
SP_7_10,0.65,0.8,7.824207761907019,4.248856354737654,1.8414855925130762,84.14855925130762,25.1124458842678,28.687797291437164
SP_7_11,0.2,0.35,7.593921538558789,3.124433066928759,2.430495829447685,143.04958294476847,-10.321379790897481,-5.851891319267452
SP_7_11,0.35,0.5,46.54559575812891,3.6551934109302238,12.734099273363308,1173.4099273363308,-5.851891319267452,37.038511027931236
SP_7_11,0.5,0.65,4.038142250617966,5.439831906813197,0.7423284983420785,-25.767150165792152,37.038511027931236,35.636821371736005
SP_7_11,0.65,0.8,3.8293343341210857,4.208632026682608,0.9098762519134993,-9.012374808650069,35.636821371736005,35.25752367917448
SP_7_12,0.2,0.35,7.712352825677954,2.972782138735056,2.594321570083042,159.4321570083042,11.08155491494108,15.821125601883978
SP_7_12,0.35,0.5,7.712352825561538,4.626338678877801,1.6670532273768388,66.70532273768389,15.821125601883978,18.907139748567715
SP_7_12,0.5,0.65,7.712352825677954,4.976015723776072,1.5499052361967618,54.99052361967618,18.907139748567715,21.643476850469597
SP_7_12,0.65,0.8,7.742045684484765,4.384445814648643,1.7657980077249946,76.57980077249947,21.643476850469597,25.00107672030572
SP_7_13,0.2,0.35,6.037164627574384,3.7879640641622245,1.5937755811074756,59.377558110747565,-9.585915859672241,-7.336715296260081
SP_7_13,0.35,0.5,5.905863818246871,2.9405928247142583,2.0083922427515115,100.83922427515115,-7.336715296260081,-4.371444302727468
SP_7_13,0.5,0.65,45.304730598581955,4.756584826624021,9.524634217600386,852.4634217600386,-4.371444302727468,36.176701469230466
SP_7_13,0.65,0.8,3.5373190817190334,4.861835646093823,0.7275686261753923,-27.24313738246077,36.176701469230466,34.852184904855676
SP_7_14,0.2,0.35,25.617932161083445,4.102735722321086,6.2441097586929954,524.4109758692996,-2.9666897852439433,18.548506653518416
SP_7_14,0.35,0.5,6.7616023840382695,3.143955834559165,2.150667102162508,115.06671021625081,18.548506653518416,22.16615320299752
SP_7_14,0.5,0.65,6.761602383921854,3.624853970017284,1.865344766947843,86.53447669478429,22.16615320299752,25.30290161690209
SP_7_14,0.65,0.8,6.7616023840382695,5.446633281651884,1.2414278756045742,24.142787560457425,25.30290161690209,26.617870719288476
SP_7_17,0.2,0.35,6.850068225176074,3.307608305825852,2.0710034537979345,107.10034537979345,11.666626073303632,15.209085992653854
SP_7_17,0.35,0.5,6.850068225176074,3.1515180121641606,2.1735773677117916,117.35773677117916,15.209085992653854,18.907636205665767
SP_7_17,0.5,0.65,6.850068225176074,5.6380911929300055,1.2149622967726827,21.496229677268275,18.907636205665767,20.119613237911835
SP_7_17,0.65,0.8,6.850068225059658,4.277487300569192,1.6014233926885397,60.14233926885397,20.119613237911835,22.692194162402302
SP_7_18,0.2,0.35,4.6848823400214314,2.825918268528767,1.6578265522380025,65.78265522380025,-39.20560768758878,-37.34664361609612
SP_7_18,0.35,0.5,4.6848823400214314,4.3627212481806055,1.0738440696790283,7.384406967902835,-37.34664361609612,-37.02448252425529
SP_7_18,0.5,0.65,4.684882340137847,3.7355909396428615,1.2541208113610378,25.41208113610378,-37.02448252425529,-36.075191123760305
SP_7_18,0.65,0.8,51.073967526783235,4.2871412300737575,11.9132925149528,1091.32925149528,-36.075191123760305,10.711635172949173
SP_7_5,0.2,0.35,7.426512947888114,3.539038182236254,2.098455163655633,109.8455163655633,-7.431722729583271,-3.5442479639314115
SP_7_5,0.35,0.5,33.71381603251211,2.9311506557278335,11.501904880471127,1050.1904880471127,-3.5442479639314115,27.23841741285287
SP_7_5,0.5,0.65,9.190009423764423,5.438870195182972,1.6896908905646824,68.96908905646823,27.23841741285287,30.98955664143432
SP_7_5,0.65,0.8,5.191664018086158,4.39390969183296,1.181559108448678,18.155910844867805,30.98955664143432,31.787310967687517
SP_7_8,0.2,0.35,21.780179527122527,3.9385221287375316,5.530038632562927,453.0038632562927,-2.275976652628742,15.565680745756254
SP_7_8,0.35,0.5,8.200164601556025,3.023342260508798,2.712284582750489,171.22845827504892,15.565680745756254,20.74250308680348
SP_7_8,0.5,0.65,8.20016460143961,4.338628695928492,1.8900360404509626,89.00360404509627,20.74250308680348,24.6040389923146
SP_7_8,0.65,0.8,8.200164601556025,5.171472314163111,1.5856537758305762,58.56537758305762,24.6040389923146,27.632731279707514
SP_7_9,0.2,0.35,6.943430201848969,3.1588535867631435,2.1980854797907416,119.80854797907416,-11.202980314614251,-7.418403699528426
SP_7_9,0.35,0.5,6.943430201848969,3.489907190320082,1.9895744566239144,98.95744566239144,-7.418403699528426,-3.964880687999539
SP_7_9,0.5,0.65,6.943430201848969,4.12236294534523,1.684332576705588,68.43325767055879,-3.964880687999539,-1.1438134314958006
SP_7_9,0.65,0.8,6.943430201848969,4.205625954200514,1.6509861498533835,65.09861498533836,-1.1438134314958006,1.5939908161526546
