field_id,pair_count,agreement_group,pearson_r,mean_expected_fcover,mean_sentinel2_fcover,bias_sentinel2_minus_expected,mae,rmse
SP:1.1,7,Высокое,0.9452279697934601,0.19539669646020916,0.24389221043592052,0.04849551397571138,0.08074816963505753,0.13905111503221007
SP:1.11,6,Высокое,0.9963179371458264,0.11689823757729205,0.10589062562212348,-0.011007611955168565,0.04672824622935327,0.07514678710337763
SP:1.3,7,Высокое,0.9915663742828799,0.18125079708026443,0.22815699459585762,0.04690619751559317,0.04690619751559317,0.07474336743651136
SP:1.5,8,Высокое,0.9826586193299185,0.16915446375405063,0.15794141427613795,-0.01121304947791267,0.04023428233248759,0.06442177741944008
SP:1.6,8,Высокое,0.9982401989479314,0.1703027528884785,0.20009135076543316,0.029788597876954676,0.03507818224062856,0.048787869887157685
SP:2.1,8,Высокое,0.9984838903913987,0.1820836871638911,0.2278217813873198,0.0457380942234287,0.04915030365652692,0.0740214807989718
SP:2.5,8,Высокое,0.9973855134566405,0.25284901449446057,0.3156518646283075,0.06280285013384695,0.06932102999434606,0.09744540126326788
SP:2.6,10,Высокое,0.9967622454973638,0.20932548464935366,0.24473918286385016,0.035413698214496483,0.04305498539943366,0.06699812360199642
SP:2.7,13,Высокое,0.9277552334057673,0.2549270139082087,0.3213999754247757,0.066472961516567,0.09633053449417336,0.13734172268070627
SP:3.1,14,Высокое,0.9724034584064858,0.2614632515389276,0.3202204627284248,0.058757211189497185,0.0635504077197359,0.1046400689485964
SP:3.4,13,Высокое,0.9914223288291337,0.19516396385967327,0.2434873271267861,0.048323363267112826,0.0501541022518569,0.0762101288476335
SP:3.5,12,Высокое,0.9862853922618523,0.21127052050609363,0.2531554496575457,0.04188492915145209,0.04934483944030177,0.08291758807468125
SP:4.1,11,Высокое,0.9944472153558036,0.2255389537565375,0.2636408496394076,0.03810189588287012,0.040939954160210894,0.052075359115538386
SP:4.11,13,Высокое,0.9759095218997238,0.2796578392820621,0.2991757035801689,0.019517864298106733,0.05038958546566009,0.07768948235025513
SP:4.15,12,Высокое,0.9932287435184527,0.20986030326141214,0.24277113740875697,0.0329108341473448,0.03783821690383776,0.06224025717699379
SP:4.16,12,Высокое,0.9988086175008203,0.27101891593850486,0.3495464402755412,0.07852752433703633,0.07852752433703633,0.10658550276270318
SP:4.3,11,Слабое,0.06803139883040166,0.11067242250678339,0.13932144292630255,0.02864902041951917,0.19311294109037777,0.28697349291707797
SP:4.6,12,Слабое,0.2925128918685718,0.17213468450022315,0.156885964582519,-0.015248719917704165,0.18675988715120354,0.2715199012798841
SP:4.8,12,Высокое,0.9785181843758514,0.19133268642562398,0.27298212800330174,0.08164944157767771,0.08179373738607619,0.13991005982820054
SP:6.1,11,Слабое,0.349994109033066,0.14441483794116328,0.2227889058518816,0.07837406791071834,0.19758723565147218,0.3282841158120527
SP:6.2,12,Слабое,0.24274032795150882,0.11726074003118354,0.2701508726847048,0.15289013265352122,0.2471968468083918,0.3971377583653345
SP:6.3,13,Слабое,0.614186990669813,0.1743384175184762,0.3099363836316535,0.1355979661131773,0.1956051498064449,0.31884238337811455
SP:6.4,12,Высокое,0.9398527610245451,0.2168250293583247,0.2490664713550359,0.032241441996711175,0.07308174532337576,0.11162758842265463
SP:6.5,12,Умеренное,0.8948417154583101,0.21008665928307227,0.2595798328984529,0.04949317361538058,0.10179338771344942,0.14215649662590477
SP:6.6,12,Слабое,-0.24101878128689985,0.21058334878949628,0.12155250444387396,-0.08903084434562232,0.2813102302912965,0.3643760558742239
SP:6.7,13,Слабое,-0.3513626034263437,0.22658864895453126,0.12902138224587992,-0.09756726670865133,0.3132591464507198,0.38972233487320374
SP:7.10,14,Умеренное,0.7392808042864404,0.21228747539810117,0.2623196837292718,0.05003220833117066,0.13411911928562475,0.2283857722775539
SP:7.11,14,Умеренное,0.5998649726908328,0.21181094599983621,0.29065396057974013,0.07884301457990395,0.17143817128131866,0.267116553881148
SP:7.12,14,Высокое,0.9226425578865484,0.24029236195323797,0.2802433244817491,0.03995096252851115,0.09471131646288196,0.1474362345781544
SP:7.13,14,Слабое,0.6056213219125652,0.2136093069070471,0.3394165122216301,0.12580720531458303,0.20959746501543494,0.3047688606660337
SP:7.14,14,Слабое,0.5910566469692007,0.19257360150935185,0.3379573464792754,0.14538374496992354,0.18982377870415368,0.3254179608221441
SP:7.17,13,Умеренное,0.7642167464191443,0.2226109676188971,0.31958225672133267,0.09697128910243556,0.148331294563887,0.26884750847600974
SP:7.18,13,Умеренное,0.7689768069962079,0.2674666335511726,0.3958952699143153,0.12842863636314267,0.16951249217325426,0.25366829880196096
SP:7.3,14,Слабое,-0.144869451995963,0.2421186414132521,0.29111057413475855,0.04899193272150647,0.35331728182959793,0.43074357568528554
SP:7.5,14,Умеренное,0.7202842338244063,0.2128802977572546,0.320388266351074,0.10750796859381939,0.167099233713791,0.25521276936340687
SP:7.8,13,Слабое,0.48375329112217513,0.15647966252511886,0.2542044695180196,0.09772480699290073,0.163350890826884,0.2801290193327991
SP:7.9,14,Высокое,0.9948243231596477,0.2508388910121197,0.28978472884877454,0.038945837836654805,0.0454071937910125,0.05230828459446895
